X,Y,target
-0.403880595,-0.676465636,0
-0.237513131,-1.474137881,0
0.646781718,0.980323656,1
1.533152367,-1.955367009,0
0.539168641,-1.209593977,0
0.918528079,-1.561056472,0
-1.090483286,-2.05605658,0
-0.758685933,-1.238731647,0
-0.185348924,-2.115340572,0
-1.049010407,0.772968976,1
0.124772599,0.970877714,1
0.630676878,1.154630558,1
0.567744682,-0.761529695,0
-0.199908187,0.950607772,1
-0.732519574,-1.638324389,0
-0.814530433,1.165253751,1
-1.612006479,-1.290141798,0
-0.220671961,-1.32912971,0
-0.691721665,-1.402594262,0
0.907881766,0.810459254,1
0.785204742,1.109786893,1
0.846946298,-0.947092183,0
-0.041394318,-0.914973049,0
0.962074848,-0.59178201,0
2.734041736,1.214048384,1
0.680060189,-1.431236698,0
-1.469611466,-1.554413322,0
1.139560741,0.863007145,1
1.134097571,-0.765061671,0
-0.488181273,-1.287058378,0
0.775222799,-0.123159146,0
1.075551112,0.924174599,1
-0.974352551,1.023604136,1
-0.454271764,0.825994006,1
0.841894921,1.055041979,1
-1.057281816,-1.378869125,0
-0.933391969,-0.37437967,0
-0.252031236,-1.078114817,0
0.255625645,-0.371291707,0
-0.357138919,1.089172615,1
0.299657493,-1.879176507,0
-0.005386678,-0.824792199,0
-0.21868728,1.04404898,1
1.418983243,1.012793777,1
0.498788984,-1.260297897,0
-1.009936847,-0.383105058,0
-1.177737033,-0.905715259,0
0.229239021,0.760266577,1
-0.185971634,0.95378246,1
-1.105942725,0.864172208,1
0.262302583,1.021822647,1
-1.642356797,0.845646282,1
0.238704811,-0.471021844,0
-0.800764557,-1.836145405,0
-0.072879683,0.231847389,0
0.283113042,-1.477709595,0
1.148128826,1.027020209,1
-0.099761524,-1.322082972,0
-0.578536636,1.149878924,1
0.393267722,-1.547844884,0
-0.945036961,-1.556719916,0
0.816209511,-1.933859466,0
0.945863702,1.097910519,1
-1.363514794,-1.508263984,0
0.838692231,1.223726402,1
-0.316646496,-1.331661421,0
1.664635525,-1.1525743,0
-1.031010556,1.136278567,1
-0.256147806,1.005436068,1
1.576418736,-1.26772167,0
-2.448670791,-1.62805801,0
0.692776551,-0.746334518,0
-0.708146569,-1.552495009,0
0.36199248,-1.006923425,0
-1.122057234,1.032878699,1
1.127186334,0.871391288,1
1.481594862,0.852607745,1
-1.750541333,0.398844719,0
-0.340523989,-1.396793303,0
0.530939708,-1.433374997,0
-1.236931446,-0.982934608,0
0.154188218,0.822818951,1
-0.400896024,0.873031787,1
0.67705795,-0.62033986,0
-0.997580587,1.057097501,1
-0.565496897,-0.788857865,0
-0.120992132,-0.750033328,0
-0.459833278,-0.286428277,0
0.258770345,-1.262808661,0
0.793425996,-1.457494872,0
0.346722646,-1.012169021,0
-1.286555813,-1.096142871,0
0.822184986,1.294420287,1
-0.768046348,-1.472307436,0
-1.670758708,-0.572507667,0
-1.706427709,-1.546570175,0
-2.121060598,1.055823755,1
-1.236859104,-0.845960615,0
-0.252422378,0.974669484,1
-1.565083362,0.777275173,1
-0.566429937,-0.401746368,0
0.517863147,-1.05397552,0
-1.274541888,1.113075071,1
1.240599301,0.986964607,1
0.761424455,0.933355906,1
-0.458613661,-1.68130032,0
-0.633979839,-1.290511586,0
-0.337634988,-1.576276476,0
0.901142525,0.990729968,1
-0.068992604,0.917526214,1
-0.425380649,-0.489874131,0
0.24053082,1.043791321,1
-2.030750847,0.945583434,1
-2.683242422,-1.910973315,0
-1.423794784,-0.657008573,0
0.209625089,0.930037965,1
2.026337139,-1.100808982,0
1.126230888,-1.802244844,0
-2.025631357,0.790740505,1
-1.098443833,-1.020541766,0
2.0582151,-1.543282937,0
-0.046135381,0.833191297,1
0.205271575,0.961655622,1
0.607308659,0.847687341,1
0.379429818,-0.688245373,0
-1.733905,-0.192845995,0
0.050907573,-1.014259708,0
0.776464849,0.801335201,1
1.042941199,-0.65491593,0
1.180844575,-0.679302798,0
0.033854801,-1.467494586,0
0.711398905,0.920957832,1
-0.417244758,-1.355038008,0
-1.848981185,1.140556905,1
-0.215942162,1.008202287,1
0.803418589,0.041867558,0
-0.453817117,-0.528102079,0
-1.376309518,0.817276352,1
0.76921939,1.156552679,1
0.042171977,-2.872896769,0
2.684913902,-0.906467974,0
-0.538382976,-0.785946141,0
-1.550564199,1.127600229,1
0.373809852,-1.186698172,0
0.245167645,-1.701374159,0
0.333515464,-0.176623791,0
0.505649995,0.809694943,1
1.788223452,1.207234495,1
-0.380675719,1.215434764,1
-0.570181218,0.825489307,1
-0.455883183,0.846459296,1
-0.185821254,-2.049558598,0
0.007060227,0.874788769,1
-0.047579253,-0.892269242,0
-1.670502218,1.303972396,1
-0.491976958,-1.099192956,0
0.112762597,1.076780301,1
0.261349786,0.973754152,1
0.939572857,-0.759270959,0
0.002411567,0.916891116,1
-0.307329489,-1.79192453,0
1.161592543,0.778526362,1
-0.144211285,-0.304346647,0
1.461153064,1.029194491,1
1.16171332,-1.324255233,0
0.520949938,0.695394709,1
-0.664661557,0.743522062,1
-0.383630378,-1.243152035,0
2.534049427,1.146177666,1
-0.693131139,-1.358938352,0
-0.167673521,-1.529752102,0
-1.86668217,0.035236131,0
0.438855068,-0.09547953,0
1.405666634,-0.990535115,0
1.111958551,1.060301786,1
0.350714554,0.980914885,1
-0.336965426,0.915899252,1
0.412550073,-1.288527247,0
0.734873557,1.111888709,1
0.751290421,0.956181132,1
-0.158410811,1.048555757,1
0.942905306,-0.387097095,0
-0.905664097,1.049833261,1
-1.422920029,-0.937313022,0
0.39404137,-2.310152377,0
-0.38889199,1.081310697,1
1.895366689,-1.377209049,0
0.222075586,1.03754338,1
-0.397573782,0.965029951,1
-0.576892498,-0.733667301,0
-0.765342409,-2.072976023,0
-0.08387666,1.163178393,1
-1.727941828,1.002778809,1
1.825391175,-1.925209652,0
0.838480072,1.038072259,1
-0.892258397,-0.566216888,0
0.336180047,1.158570144,1
0.195709245,-0.297274498,0
0.45894133,0.070176969,0
-0.385803179,-0.677936931,0
-0.469614026,1.1512768,1
0.327315665,0.938262064,1
0.763711914,-0.085372823,0
-1.321293605,1.290434818,1
-0.682258589,1.086080588,1
-0.882764817,-1.00852195,0
0.436190911,-0.456724693,0
0.578835643,-1.190669337,0
0.309015378,-1.916011389,0
-1.127377049,-0.682287011,0
0.081244876,-1.397766372,0
0.851320957,-0.698179475,0
-0.160529583,0.978498782,1
0.643752446,0.703619238,1
0.487141032,0.883021656,1
-2.242488211,-0.551162881,0
1.387419892,-0.292990975,0
0.255360554,-1.374833549,0
0.572523125,-0.321207179,0
0.117343154,-0.532212334,0
1.685759252,-1.919212049,0
0.731935661,1.11790069,1
2.416161766,0.244953544,0
-0.189186662,1.014317476,1
-0.694748456,-1.399754022,0
-0.472592992,-2.114900902,0
-1.183428798,-1.420050954,0
-0.681404558,-1.724129569,0
-0.905487147,1.030645647,1
0.734124998,-0.8112534,0
-0.666937477,-1.090116265,0
0.511605618,-1.979150397,0
-0.819580881,0.932732936,1
0.162239696,-0.752675293,0
1.204882948,-2.517732039,0
0.684658986,0.823055813,1
-0.516459764,1.132871522,1
0.325338235,1.06598514,1
-0.46585048,0.909786063,1
0.639341067,-0.914227593,0
-0.87553289,0.966746398,1
-1.884410413,0.920528793,1
0.972449581,0.853678062,1
0.737054706,-2.111107946,0
0.487821975,-1.055086285,0
-3.209686628,0.179742517,0
0.306160973,-1.076867764,0
-0.399959605,0.902611891,1
-0.089559702,1.089178777,1
-0.893431738,-1.855218636,0
-0.507670153,-1.084578876,0
-1.358187168,0.902873254,1
-1.903201063,-0.864740018,0
-0.18902039,-1.259087523,0
1.291039624,-0.798466455,0
-0.492762922,0.939492898,1
-1.127532122,0.411186128,0
1.454642705,-0.256474855,0
-1.070639768,-1.084530797,0
-0.929206991,-0.897102155,0
0.290339739,0.920979357,1
-0.365064102,0.921409211,1
0.371491163,1.323437282,1
1.556836919,1.018360976,1
-0.806114241,0.726053834,1
-0.469113504,1.090579824,1
0.530136311,1.113187852,1
1.301423873,-1.778941183,0
-0.110541691,1.12956697,1
1.052128632,1.123199753,1
1.099339827,1.013724481,1
1.24554849,0.833049791,1
0.357530653,1.119098554,1
-1.483268927,0.855449238,1
-0.290761343,0.13370262,0
-0.62399156,0.826760517,1
1.258720592,-0.615385415,0
-0.523087055,0.827719205,1
0.571626362,-1.444770942,0
-0.769862282,0.941487676,1
-0.763075275,0.997588141,1
2.236375532,1.048689947,1
-1.248487837,1.139145033,1
-1.107536265,1.09620134,1
0.257509953,-1.593127276,0
-0.555773056,1.195254092,1
-0.229194271,0.923160778,1
0.839052859,1.142483483,1
-0.49960248,-0.580606192,0
0.596495554,-1.634750377,0
0.0843635,-1.471416794,0
-0.916264679,-1.323038203,0
-0.636634339,0.834305302,1
-1.622711251,1.05618887,1
0.032090026,-0.983539007,0
-0.179087196,-0.127172849,0
-0.651431648,-1.122573511,0
1.117118508,0.03421265,0
-1.66412166,-0.698018464,0
-1.174985593,1.187706521,1
-1.740528914,1.057411504,1
-0.717917875,1.073631152,1
-0.917294102,0.995378245,1
0.2807448,1.046134258,1
0.843070822,0.963041314,1
-0.36246778,1.130934691,1
0.203028253,0.833470764,1
-0.841672964,-0.855753403,0
